time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,brake_pct,p_term_nm,i_term_nm,d_term_nm,integral,est_mass_kg,est_drag,model_conf,steering_deg
0.010,7.000,0.000,7.000,74400.000,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.020,7.000,0.000,7.000,74400.000,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.030,7.000,0.000,7.000,74400.000,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.040,7.000,0.010,6.990,74414.285,0.000,0.000,0.000,0.000,0.000,200039.7,3.500,0.30,0.00
0.050,7.000,0.010,6.990,74428.553,0.000,0.000,0.000,0.000,0.000,200079.3,3.500,0.30,0.00
0.060,7.000,0.020,6.980,74442.824,0.000,0.000,0.000,0.000,0.000,200119.0,3.500,0.30,0.00
0.070,7.000,0.030,6.970,74385.646,0.000,0.000,0.000,0.000,0.000,199960.1,3.500,0.30,0.00
0.080,7.000,0.030,6.970,74400.007,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.090,7.000,0.040,6.960,74414.273,0.000,0.000,0.000,0.000,0.000,200039.6,3.500,0.31,0.00
0.100,7.000,0.040,6.960,74428.541,0.000,0.000,0.000,0.000,0.000,200079.3,3.500,0.31,0.00
0.110,7.000,0.050,6.950,74442.812,0.000,0.000,0.000,0.000,0.000,200118.9,3.500,0.31,0.00
0.120,7.000,0.050,6.950,74457.085,0.000,0.000,0.000,0.000,0.000,200158.6,3.500,0.31,0.00
0.130,7.000,0.050,6.950,74542.827,0.000,0.000,0.000,0.000,0.000,200396.7,3.500,0.31,0.00
0.140,7.000,0.060,6.940,74557.022,0.000,0.000,0.000,0.000,0.000,200436.2,3.500,0.31,0.00
0.150,7.000,0.070,6.930,74499.757,0.000,0.000,0.000,0.000,0.000,200277.1,3.500,0.31,0.00
0.160,7.000,0.070,6.930,74514.140,0.000,0.000,0.000,0.000,0.000,200317.0,3.500,0.31,0.00
0.170,7.000,0.080,6.920,74528.429,0.000,0.000,0.000,0.000,0.000,200356.7,3.500,0.31,0.00
0.180,7.000,0.080,6.920,74542.718,0.000,0.000,0.000,0.000,0.000,200396.4,3.500,0.32,0.00
0.190,7.000,0.080,6.920,74628.558,0.000,0.000,0.000,0.000,0.000,200634.9,3.500,0.32,0.00
0.200,7.000,0.090,6.910,74642.770,0.000,0.000,0.000,0.000,0.000,200674.3,3.500,0.32,0.00
0.210,7.000,0.100,6.900,74585.440,0.000,0.000,0.000,0.000,0.000,200515.1,3.500,0.32,0.00
0.220,7.000,0.100,6.900,74599.840,0.000,0.000,0.000,0.000,0.000,200555.1,3.500,0.32,0.00
0.230,7.000,0.110,6.890,74614.146,0.000,0.000,0.000,0.000,0.000,200594.8,3.500,0.32,0.00
0.240,7.000,0.110,6.890,74628.452,0.000,0.000,0.000,0.000,0.000,200634.6,3.500,0.32,0.00
0.250,7.000,0.120,6.880,74642.763,0.000,0.000,0.000,0.000,0.000,200674.3,3.500,0.32,0.00
0.260,7.000,0.120,6.880,74657.075,0.000,0.000,0.000,0.000,0.000,200714.1,3.500,0.32,0.00
0.270,7.000,0.130,6.870,74671.392,0.000,0.000,0.000,0.000,0.000,200753.8,3.500,0.32,0.00
0.280,7.000,0.130,6.870,74685.709,0.000,0.000,0.000,0.000,0.000,200793.6,3.500,0.33,0.00
0.290,7.000,0.140,6.860,74700.032,0.000,0.000,0.000,0.000,0.000,200833.4,3.500,0.33,0.00
0.300,7.000,0.140,6.860,74714.354,0.000,0.000,0.000,0.000,0.000,200873.1,3.500,0.33,0.00
0.310,7.000,0.140,6.860,74800.392,0.000,0.000,0.000,0.000,0.000,201112.1,3.500,0.33,0.00
0.320,7.000,0.150,6.850,74814.637,0.000,0.000,0.000,0.000,0.000,201151.7,3.500,0.33,0.00
0.330,7.000,0.150,6.850,74828.982,0.000,0.000,0.000,0.000,0.000,201191.6,3.500,0.33,0.00
0.340,7.000,0.160,6.840,74843.333,0.000,0.000,0.000,0.000,0.000,201231.4,3.500,0.33,0.00
0.350,7.000,0.170,6.830,74785.851,0.000,0.000,0.000,0.000,0.000,201071.7,3.500,0.33,0.00
0.360,7.000,0.170,6.830,74800.289,0.000,0.000,0.000,0.000,0.000,201111.8,3.500,0.33,0.00
0.370,7.000,0.180,6.820,74814.634,0.000,0.000,0.000,0.000,0.000,201151.7,3.500,0.33,0.00
