time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,brake_pct,p_term_nm,i_term_nm,d_term_nm,integral,est_mass_kg,est_drag,model_conf,steering_deg
0.010,8.000,0.000,8.000,30000.000,0.000,400.000,0.400,29599.600,0.000,240000.0,3.000,0.05,0.00
0.020,8.000,0.000,8.000,19504.000,0.000,400.000,0.400,19103.600,0.000,240000.0,3.000,0.05,0.00
0.030,8.000,0.000,8.000,19506.000,0.000,400.000,0.400,19105.600,0.000,240000.0,3.000,0.05,0.00
0.040,8.000,0.000,8.000,19508.000,0.000,400.000,0.400,19107.600,0.000,240000.0,3.000,0.05,0.00
0.050,8.000,0.010,7.990,19457.499,0.000,399.500,0.400,19057.600,0.000,240000.1,3.000,0.05,0.00
0.060,8.000,0.010,7.990,19509.497,0.000,399.500,0.400,19109.597,0.000,240000.2,3.000,0.06,0.00
0.070,8.000,0.010,7.990,19511.494,0.000,399.500,0.400,19111.594,0.000,240000.2,3.000,0.06,0.00
0.080,8.000,0.010,7.990,19513.492,0.000,399.500,0.400,19113.592,0.000,240000.2,3.000,0.06,0.00
0.090,8.000,0.010,7.990,19515.489,0.000,399.500,0.400,19115.590,0.000,240000.2,3.000,0.06,0.00
0.100,8.000,0.020,7.980,19464.989,0.000,399.000,0.399,19065.590,0.000,240000.3,3.000,0.06,0.00
0.110,8.000,0.020,7.980,19516.984,0.000,399.000,0.399,19117.585,0.000,240000.5,3.000,0.07,0.00
0.120,8.000,0.020,7.980,19518.979,0.000,399.000,0.399,19119.579,0.000,240000.5,3.000,0.07,0.00
0.130,8.000,0.020,7.980,19520.974,0.000,399.000,0.399,19121.574,0.000,240000.5,3.000,0.07,0.00
0.140,8.000,0.030,7.970,19470.473,0.000,398.500,0.399,19071.575,0.000,240000.6,3.000,0.07,0.00
0.150,8.000,0.030,7.970,19522.466,0.000,398.500,0.399,19123.568,0.000,240000.7,3.000,0.07,0.00
0.160,8.000,0.030,7.970,19524.459,0.000,398.500,0.399,19125.560,0.000,240000.7,3.000,0.08,0.00
0.170,8.000,0.040,7.960,19473.959,0.000,398.000,0.398,19075.561,0.000,240000.8,3.000,0.08,0.00
0.180,8.000,0.040,7.960,19525.949,0.000,398.000,0.398,19127.551,0.000,240000.9,3.000,0.08,0.00
0.190,8.000,0.040,7.960,19527.939,0.000,398.000,0.398,19129.541,0.000,240000.9,3.000,0.08,0.00
0.200,8.000,0.040,7.960,19529.929,0.000,398.000,0.398,19131.531,0.000,240000.9,3.000,0.08,0.00
0.210,8.000,0.040,7.960,20271.469,0.000,543.271,0.523,19727.675,0.000,240000.9,3.000,0.09,0.00
0.220,8.000,0.050,7.950,20923.699,0.000,686.225,0.647,20236.827,0.000,240001.0,3.000,0.09,0.00
0.230,8.000,0.050,7.950,21730.954,0.000,828.426,0.769,20901.758,0.000,240001.1,3.000,0.09,0.00
0.240,8.000,0.050,7.950,22453.323,0.000,969.205,0.891,21483.227,0.000,240001.1,3.000,0.09,0.00
0.250,8.000,0.060,7.940,23041.689,0.000,1107.182,1.010,21933.497,0.000,240001.3,3.000,0.09,0.00
0.260,8.000,0.060,7.940,23872.349,0.000,1244.986,1.129,22626.234,0.000,240001.4,3.000,0.10,0.00
0.270,8.000,0.060,7.940,24576.082,0.000,1381.412,1.247,23193.423,0.000,240001.4,3.000,0.10,0.00
0.280,8.000,0.060,7.940,25274.005,0.000,1516.474,1.363,23756.169,0.000,240001.4,3.000,0.10,0.00
0.290,8.000,0.060,7.940,25966.172,0.000,1650.185,1.479,24314.509,0.000,240001.4,3.000,0.10,0.00
0.300,8.000,0.070,7.930,26452.771,0.000,1780.314,1.591,24670.867,0.000,240001.5,3.000,0.10,0.00
0.310,8.000,0.070,7.930,27321.389,0.000,1911.199,1.704,25408.486,0.000,240001.7,3.000,0.11,0.00
0.320,8.000,0.070,7.930,27995.764,0.000,2040.775,1.816,25953.173,0.000,240001.7,3.000,0.11,0.00
0.330,8.000,0.080,7.920,28423.332,0.000,2166.321,1.924,26255.087,0.000,240001.8,3.000,0.11,0.00
0.340,8.000,0.080,7.920,29313.448,0.000,2293.159,2.033,27018.255,0.000,240002.0,3.000,0.11,0.00
0.350,8.000,0.080,7.920,29970.528,0.000,2418.729,2.142,27549.657,0.000,240002.0,3.000,0.11,0.00
0.360,8.000,0.080,7.920,30622.217,0.000,2543.043,2.249,28076.925,0.000,240002.0,3.000,0.12,0.00
0.370,8.000,0.080,7.920,31268.563,0.000,2666.113,2.355,28600.095,0.000,240002.0,3.000,0.12,0.00
0.380,8.000,0.090,7.910,31602.069,0.000,2784.433,2.457,28815.179,0.000,240002.1,3.000,0.12,0.00
0.390,8.000,0.090,7.910,32527.055,0.000,2904.903,2.561,29619.591,0.000,240002.3,3.000,0.12,0.00
0.400,8.000,0.090,7.910,33075.000,0.000,3024.168,2.664,30048.168,0.000,240002.3,3.000,0.12,0.00
0.410,8.000,0.090,7.910,33781.580,0.000,3142.240,2.766,30636.574,0.000,240002.3,3.000,0.13,0.00
0.420,8.000,0.100,7.900,34042.942,0.000,3255.011,2.863,30785.067,0.000,240002.5,3.000,0.13,0.00
0.430,8.000,0.100,7.900,34728.750,0.000,3370.588,2.963,31355.199,0.000,240002.7,3.000,0.13,0.00
0.440,8.000,0.100,7.900,35603.150,0.000,3485.008,3.062,32115.079,0.000,240002.7,3.000,0.13,0.00
0.450,8.000,0.100,7.900,36206.976,0.000,3598.285,3.159,32605.532,0.000,240002.7,3.000,0.13,0.00
0.460,8.000,0.110,7.890,36398.978,0.000,3705.732,3.252,32689.994,0.000,240002.9,3.000,0.14,0.00
0.470,8.000,0.110,7.890,37375.741,0.000,3816.614,3.348,33555.779,0.000,240003.1,3.000,0.14,0.00
0.480,8.000,0.110,7.890,37964.245,0.000,3926.387,3.443,34034.416,0.000,240003.1,3.000,0.14,0.00
0.490,8.000,0.110,7.890,38097.662,0.000,3945.000,3.536,34149.125,0.000,240003.1,3.000,0.14,0.00
0.500,8.000,0.120,7.880,37686.289,0.000,3940.000,3.625,33742.665,0.000,240003.3,3.000,0.14,0.00
0.510,8.000,0.120,7.880,38155.447,0.000,3940.000,3.716,34211.731,0.000,240003.5,3.000,0.15,0.00
0.520,8.000,0.120,7.880,38197.844,0.000,3940.000,3.807,34254.037,0.000,240003.5,3.000,0.15,0.00
0.530,8.000,0.120,7.880,38240.908,0.000,3940.000,3.897,34297.011,0.000,240003.5,3.000,0.15,0.00
0.540,8.000,0.130,7.870,37789.937,0.000,3935.000,3.981,33850.956,0.000,240003.7,3.000,0.15,0.00
0.550,8.000,0.130,7.870,38303.975,0.000,3935.000,4.069,34364.906,0.000,240003.9,3.000,0.15,0.00
0.560,8.000,0.130,7.870,38348.943,0.000,3935.000,4.157,34409.787,0.000,240003.9,3.000,0.16,0.00
0.570,8.000,0.130,7.870,38394.533,0.000,3935.000,4.243,34455.290,0.000,240003.9,3.000,0.16,0.00
0.580,8.000,0.140,7.860,37915.747,0.000,3930.000,4.323,33981.424,0.000,240004.1,3.000,0.16,0.00
0.590,8.000,0.140,7.860,38462.519,0.000,3930.000,4.407,34528.112,0.000,240004.3,3.000,0.16,0.00
0.600,8.000,0.140,7.860,38509.881,0.000,3930.000,4.491,34575.390,0.000,240004.3,3.000,0.16,0.00
0.610,8.000,0.140,7.860,38557.822,0.000,3930.000,4.574,34623.248,0.000,240004.3,3.000,0.17,0.00
0.620,8.000,0.140,7.860,38606.332,0.000,3930.000,4.656,34671.676,0.000,240004.3,3.000,0.17,0.00
0.630,8.000,0.150,7.850,38130.414,0.000,3925.000,4.731,34200.684,0.000,240004.5,3.000,0.17,0.00
0.640,8.000,0.150,7.850,38680.002,0.000,3925.000,4.811,34750.191,0.000,240004.7,3.000,0.17,0.00
0.650,8.000,0.150,7.850,38730.130,0.000,3925.000,4.891,34800.239,0.000,240004.7,3.000,0.17,0.00
0.660,8.000,0.150,7.850,38780.787,0.000,3925.000,4.969,34850.817,0.000,240004.7,3.000,0.18,0.00
0.670,8.000,0.160,7.840,38306.979,0.000,3920.000,5.041,34381.938,0.000,240004.9,3.000,0.18,0.00
0.680,8.000,0.160,7.840,38858.635,0.000,3920.000,5.118,34933.517,0.000,240005.1,3.000,0.18,0.00
0.690,8.000,0.160,7.840,38910.793,0.000,3920.000,5.194,34985.599,0.000,240005.1,3.000,0.18,0.00
0.700,8.000,0.160,7.840,38963.443,0.000,3920.000,5.269,35038.174,0.000,240005.1,3.000,0.18,0.00
0.710,8.000,0.170,7.830,38491.593,0.000,3915.000,5.337,34571.256,0.000,240005.3,3.000,0.19,0.00
