time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,brake_pct,p_term_nm,i_term_nm,d_term_nm,integral,est_mass_kg,est_drag,model_conf,steering_deg
0.010,12.000,0.000,12.000,62400.000,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.020,12.000,0.000,12.000,62400.000,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.030,12.000,0.010,11.990,62400.000,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.040,12.000,0.020,11.980,62368.800,0.000,0.000,0.000,0.000,0.000,199896.0,3.500,0.30,0.00
0.050,12.000,0.020,11.980,62368.817,0.000,0.000,0.000,0.000,0.000,199896.1,3.500,0.30,0.00
0.060,12.000,0.020,11.980,62400.001,0.000,0.000,0.000,0.000,0.000,200000.0,3.500,0.30,0.00
0.070,12.000,0.060,11.940,62306.435,0.000,0.000,0.000,0.000,0.000,199688.1,3.500,0.30,0.00
0.080,12.000,0.070,11.930,62181.685,0.000,0.000,0.000,0.000,0.000,199272.3,3.500,0.30,0.00
0.090,12.000,0.070,11.930,62181.750,0.000,0.000,0.000,0.000,0.000,199272.5,3.500,0.31,0.00
0.100,12.000,0.080,11.920,62181.752,0.000,0.000,0.000,0.000,0.000,199272.5,3.500,0.31,0.00
0.110,12.000,0.110,11.890,62088.485,0.000,0.000,0.000,0.000,0.000,198961.6,3.500,0.31,0.00
0.120,12.000,0.110,11.890,62026.352,0.000,0.000,0.000,0.000,0.000,198754.5,3.500,0.31,0.00
0.130,12.000,0.130,11.870,61995.345,0.000,0.000,0.000,0.000,0.000,198651.1,3.500,0.31,0.00
0.140,12.000,0.130,11.870,61964.348,0.000,0.000,0.000,0.000,0.000,198547.8,3.500,0.31,0.00
0.150,12.000,0.150,11.850,61933.372,0.000,0.000,0.000,0.000,0.000,198444.5,3.500,0.31,0.00
0.160,12.000,0.150,11.850,61902.406,0.000,0.000,0.000,0.000,0.000,198341.3,3.500,0.31,0.00
0.170,12.000,0.180,11.820,61840.499,0.000,0.000,0.000,0.000,0.000,198134.9,3.500,0.31,0.00
0.180,12.000,0.190,11.810,61747.682,0.000,0.000,0.000,0.000,0.000,197825.5,3.500,0.32,0.00
0.190,12.000,0.190,11.810,61747.730,0.000,0.000,0.000,0.000,0.000,197825.6,3.500,0.32,0.00
0.200,12.000,0.210,11.790,61716.865,0.000,0.000,0.000,0.000,0.000,197722.7,3.500,0.32,0.00
0.210,12.000,0.220,11.780,61655.138,0.000,0.000,0.000,0.000,0.000,197517.0,3.500,0.32,0.00
0.220,12.000,0.220,11.780,61655.170,0.000,0.000,0.000,0.000,0.000,197517.1,3.500,0.32,0.00
0.230,12.000,0.250,11.750,61593.529,0.000,0.000,0.000,0.000,0.000,197311.5,3.500,0.32,0.00
0.240,12.000,0.260,11.740,61501.084,0.000,0.000,0.000,0.000,0.000,197003.4,3.500,0.32,0.00
0.250,12.000,0.260,11.740,61501.132,0.000,0.000,0.000,0.000,0.000,197003.5,3.500,0.32,0.00
0.260,12.000,0.260,11.740,61531.883,0.000,0.000,0.000,0.000,0.000,197106.0,3.500,0.32,0.00
0.270,12.000,0.280,11.720,61501.128,0.000,0.000,0.000,0.000,0.000,197003.5,3.500,0.32,0.00
0.280,12.000,0.310,11.690,61378.098,0.000,0.000,0.000,0.000,0.000,196593.3,3.500,0.33,0.00
0.290,12.000,0.320,11.680,61285.918,0.000,0.000,0.000,0.000,0.000,196286.0,3.500,0.33,0.00
0.300,12.000,0.320,11.680,61285.966,0.000,0.000,0.000,0.000,0.000,196286.2,3.500,0.33,0.00
0.310,12.000,0.340,11.660,61255.336,0.000,0.000,0.000,0.000,0.000,196184.1,3.500,0.33,0.00
0.320,12.000,0.340,11.660,61224.709,0.000,0.000,0.000,0.000,0.000,196082.0,3.500,0.33,0.00
0.330,12.000,0.360,11.640,61194.112,0.000,0.000,0.000,0.000,0.000,195979.9,3.500,0.33,0.00
0.340,12.000,0.360,11.640,61163.516,0.000,0.000,0.000,0.000,0.000,195877.9,3.500,0.33,0.00
0.350,12.000,0.390,11.610,61102.361,0.000,0.000,0.000,0.000,0.000,195674.0,3.500,0.33,0.00
0.360,12.000,0.400,11.600,61010.656,0.000,0.000,0.000,0.000,0.000,195368.3,3.500,0.33,0.00
0.370,12.000,0.410,11.590,60980.161,0.000,0.000,0.000,0.000,0.000,195266.6,3.500,0.33,0.00
0.380,12.000,0.420,11.580,60949.681,0.000,0.000,0.000,0.000,0.000,195165.0,3.500,0.34,0.00
0.390,12.000,0.420,11.580,60949.697,0.000,0.000,0.000,0.000,0.000,195165.0,3.500,0.34,0.00
0.400,12.000,0.450,11.550,60888.774,0.000,0.000,0.000,0.000,0.000,194961.9,3.500,0.34,0.00
0.410,12.000,0.460,11.540,60797.391,0.000,0.000,0.000,0.000,0.000,194657.2,3.500,0.34,0.00
0.420,12.000,0.460,11.540,60797.439,0.000,0.000,0.000,0.000,0.000,194657.4,3.500,0.34,0.00
0.430,12.000,0.460,11.540,60827.837,0.000,0.000,0.000,0.000,0.000,194758.7,3.500,0.34,0.00
0.440,12.000,0.460,11.540,60858.220,0.000,0.000,0.000,0.000,0.000,194860.0,3.500,0.34,0.00
0.450,12.000,0.460,11.540,60888.618,0.000,0.000,0.000,0.000,0.000,194961.3,3.500,0.34,0.00
0.460,12.000,0.480,11.520,60858.193,0.000,0.000,0.000,0.000,0.000,194859.8,3.500,0.34,0.00
0.470,12.000,0.530,11.470,60675.596,0.000,0.000,0.000,0.000,0.000,194251.0,3.500,0.34,0.00
0.480,12.000,0.530,11.470,60553.975,0.000,0.000,0.000,0.000,0.000,193845.6,3.500,0.35,0.00
0.490,12.000,0.550,11.450,60523.724,0.000,0.000,0.000,0.000,0.000,193744.7,3.500,0.35,0.00
0.500,12.000,0.550,11.450,60493.462,0.000,0.000,0.000,0.000,0.000,193643.8,3.500,0.35,0.00
0.510,12.000,0.570,11.430,60463.240,0.000,0.000,0.000,0.000,0.000,193543.0,3.500,0.35,0.00
0.520,12.000,0.570,11.430,60433.009,0.000,0.000,0.000,0.000,0.000,193442.2,3.500,0.35,0.00
0.530,12.000,0.590,11.410,60402.817,0.000,0.000,0.000,0.000,0.000,193341.5,3.500,0.35,0.00
0.540,12.000,0.610,11.390,60312.209,0.000,0.000,0.000,0.000,0.000,193039.4,3.500,0.35,0.00
0.550,12.000,0.610,11.390,60282.055,0.000,0.000,0.000,0.000,0.000,192938.9,3.500,0.35,0.00
0.560,12.000,0.630,11.370,60251.940,0.000,0.000,0.000,0.000,0.000,192838.4,3.500,0.35,0.00
0.570,12.000,0.640,11.360,60191.687,0.000,0.000,0.000,0.000,0.000,192637.5,3.500,0.35,0.00
0.580,12.000,0.640,11.360,60191.719,0.000,0.000,0.000,0.000,0.000,192637.6,3.500,0.36,0.00
0.590,12.000,0.660,11.340,60161.650,0.000,0.000,0.000,0.000,0.000,192537.3,3.500,0.36,0.00
0.600,12.000,0.670,11.330,60101.488,0.000,0.000,0.000,0.000,0.000,192336.7,3.500,0.36,0.00
0.610,12.000,0.670,11.330,60101.519,0.000,0.000,0.000,0.000,0.000,192336.8,3.500,0.36,0.00
0.620,12.000,0.700,11.300,60041.461,0.000,0.000,0.000,0.000,0.000,192136.5,3.500,0.36,0.00
0.630,12.000,0.700,11.300,59981.391,0.000,0.000,0.000,0.000,0.000,191936.3,3.500,0.36,0.00
0.640,12.000,0.720,11.280,59951.431,0.000,0.000,0.000,0.000,0.000,191836.3,3.500,0.36,0.00
0.650,12.000,0.730,11.270,59891.481,0.000,0.000,0.000,0.000,0.000,191636.4,3.500,0.36,0.00
0.660,12.000,0.730,11.270,59891.512,0.000,0.000,0.000,0.000,0.000,191636.5,3.500,0.36,0.00
0.670,12.000,0.750,11.250,59861.597,0.000,0.000,0.000,0.000,0.000,191536.7,3.500,0.36,0.00
0.680,12.000,0.750,11.250,59831.667,0.000,0.000,0.000,0.000,0.000,191436.9,3.500,0.37,0.00
0.690,12.000,0.780,11.220,59771.869,0.000,0.000,0.000,0.000,0.000,191237.4,3.500,0.37,0.00
0.700,12.000,0.780,11.220,59712.069,0.000,0.000,0.000,0.000,0.000,191038.1,3.500,0.37,0.00
0.710,12.000,0.800,11.200,59682.247,0.000,0.000,0.000,0.000,0.000,190938.6,3.500,0.37,0.00
0.720,12.000,0.810,11.190,59622.568,0.000,0.000,0.000,0.000,0.000,190739.6,3.500,0.37,0.00
0.730,12.000,0.810,11.190,59622.599,0.000,0.000,0.000,0.000,0.000,190739.7,3.500,0.37,0.00
0.740,12.000,0.830,11.170,59592.822,0.000,0.000,0.000,0.000,0.000,190640.3,3.500,0.37,0.00
0.750,12.000,0.840,11.160,59533.232,0.000,0.000,0.000,0.000,0.000,190441.6,3.500,0.37,0.00
0.760,12.000,0.840,11.160,59533.264,0.000,0.000,0.000,0.000,0.000,190441.7,3.500,0.37,0.00
0.770,12.000,0.870,11.130,59473.784,0.000,0.000,0.000,0.000,0.000,190243.3,3.500,0.37,0.00
0.780,12.000,0.870,11.130,59414.282,0.000,0.000,0.000,0.000,0.000,190045.0,3.500,0.38,0.00
0.790,12.000,0.890,11.110,59384.613,0.000,0.000,0.000,0.000,0.000,189945.9,3.500,0.38,0.00
0.800,12.000,0.900,11.100,59325.233,0.000,0.000,0.000,0.000,0.000,189747.9,3.500,0.38,0.00
0.810,12.000,0.900,11.100,59325.264,0.000,0.000,0.000,0.000,0.000,189748.0,3.500,0.38,0.00
0.820,12.000,0.920,11.080,59295.640,0.000,0.000,0.000,0.000,0.000,189649.2,3.500,0.38,0.00
0.830,12.000,0.920,11.080,59265.992,0.000,0.000,0.000,0.000,0.000,189550.3,3.500,0.38,0.00
0.840,12.000,0.950,11.050,59206.771,0.000,0.000,0.000,0.000,0.000,189352.7,3.500,0.38,0.00
0.850,12.000,0.950,11.050,59147.536,0.000,0.000,0.000,0.000,0.000,189155.3,3.500,0.38,0.00
0.860,12.000,0.970,11.030,59118.004,0.000,0.000,0.000,0.000,0.000,189056.7,3.500,0.38,0.00
0.870,12.000,0.980,11.020,59058.892,0.000,0.000,0.000,0.000,0.000,188859.6,3.500,0.38,0.00
0.880,12.000,0.990,11.010,59029.385,0.000,0.000,0.000,0.000,0.000,188761.2,3.500,0.39,0.00
0.890,12.000,0.990,11.010,59029.400,0.000,0.000,0.000,0.000,0.000,188761.2,3.500,0.39,0.00
0.900,12.000,1.010,10.990,58999.927,0.000,0.000,0.000,0.000,0.000,188662.9,3.500,0.39,0.00
0.910,12.000,1.010,10.990,58970.428,0.000,0.000,0.000,0.000,0.000,188564.5,3.500,0.39,0.00
