time_s,target_velocity_mps,actual_velocity_mps,error_mps,torque_nm,p_term_nm,i_term_nm,d_term_nm,integral,steering_deg
0.010,8.000,0.000,8.000,1000.000,1200.000,0.000,-200.000,0.000,0.00
0.020,8.000,0.140,7.860,1040.572,1179.000,1.572,-140.000,0.079,0.00
0.030,8.000,0.140,7.860,1182.144,1179.000,3.144,0.000,0.157,0.00
0.040,8.000,0.450,7.550,827.154,1132.500,4.654,-310.000,0.233,0.00
0.050,8.000,0.560,7.440,1012.142,1116.000,6.142,-110.000,0.307,0.00
0.060,8.000,0.560,7.440,1123.630,1116.000,7.630,0.000,0.382,0.00
0.070,8.000,0.860,7.140,780.058,1071.000,9.058,-300.000,0.453,0.00
0.080,8.000,0.970,7.030,954.964,1054.500,10.464,-110.000,0.523,0.00
0.090,8.000,0.970,7.030,1066.370,1054.500,11.870,-0.000,0.594,0.00
0.100,8.000,1.250,6.750,745.720,1012.500,13.220,-280.000,0.661,0.00
0.110,8.000,1.250,6.750,1027.070,1012.500,14.570,-0.000,0.729,0.00
0.120,8.000,1.500,6.500,740.870,975.000,15.870,-250.000,0.794,0.00
0.130,8.000,1.500,6.500,992.170,975.000,17.170,-0.000,0.859,0.00
0.140,8.000,1.740,6.260,717.422,939.000,18.422,-240.000,0.921,0.00
0.150,8.000,1.740,6.260,958.674,939.000,19.674,-0.000,0.984,0.00
0.160,8.000,1.970,6.030,695.380,904.500,20.880,-230.000,1.044,0.00
0.170,8.000,1.970,6.030,926.586,904.500,22.086,0.000,1.104,0.00
0.180,8.000,2.200,5.800,663.246,870.000,23.246,-230.000,1.162,0.00
0.190,8.000,2.290,5.710,790.888,856.500,24.388,-90.000,1.219,0.00
0.200,8.000,2.400,5.600,755.508,840.000,25.508,-110.000,1.275,0.00
0.210,8.000,2.400,5.600,866.628,840.000,26.628,0.000,1.331,0.00
0.220,8.000,2.630,5.370,603.202,805.500,27.702,-230.000,1.385,0.00
0.230,8.000,2.630,5.370,834.276,805.500,28.776,-0.000,1.439,0.00
0.240,8.000,2.830,5.170,605.310,775.500,29.810,-200.000,1.491,0.00
0.250,8.000,2.830,5.170,806.344,775.500,30.844,0.000,1.542,0.00
0.260,8.000,3.020,4.980,588.840,747.000,31.840,-190.000,1.592,0.00
0.270,8.000,3.020,4.980,779.836,747.000,32.836,0.000,1.642,0.00
0.280,8.000,3.210,4.790,562.294,718.500,33.794,-190.000,1.690,0.00
0.290,8.000,3.210,4.790,753.252,718.500,34.752,0.000,1.738,0.00
0.300,8.000,3.390,4.610,547.174,691.500,35.674,-180.000,1.784,0.00
0.310,8.000,3.470,4.530,636.080,679.500,36.580,-80.000,1.829,0.00
0.320,8.000,3.560,4.440,613.468,666.000,37.468,-90.000,1.873,0.00
0.330,8.000,3.560,4.440,704.356,666.000,38.356,-0.000,1.918,0.00
0.340,8.000,3.740,4.260,498.208,639.000,39.208,-180.000,1.960,0.00
0.350,8.000,3.810,4.190,598.546,628.500,40.046,-70.000,2.002,0.00
0.360,8.000,3.890,4.110,577.368,616.500,40.868,-80.000,2.043,0.00
0.370,8.000,3.890,4.110,658.190,616.500,41.690,0.000,2.085,0.00
0.380,8.000,4.070,3.930,451.976,589.500,42.476,-180.000,2.124,0.00
0.390,8.000,4.070,3.930,632.762,589.500,43.262,0.000,2.163,0.00
0.400,8.000,4.220,3.780,461.018,567.000,44.018,-150.000,2.201,0.00
0.410,8.000,4.220,3.780,611.774,567.000,44.774,0.000,2.239,0.00
0.420,8.000,4.370,3.630,440.000,544.500,45.500,-150.000,2.275,0.00
0.430,8.000,4.430,3.570,521.714,535.500,46.214,-60.000,2.311,0.00
0.440,8.000,4.500,3.500,501.914,525.000,46.914,-70.000,2.346,0.00
0.450,8.000,4.500,3.500,572.614,525.000,47.614,0.000,2.381,0.00
0.460,8.000,4.650,3.350,400.784,502.500,48.284,-150.000,2.414,0.00
0.470,8.000,4.700,3.300,493.944,495.000,48.944,-50.000,2.447,0.00
0.480,8.000,4.770,3.230,464.090,484.500,49.590,-70.000,2.480,0.00
0.490,8.000,4.770,3.230,534.736,484.500,50.236,0.000,2.512,0.00
0.500,8.000,4.910,3.090,374.354,463.500,50.854,-140.000,2.543,0.00
0.510,8.000,4.910,3.090,514.972,463.500,51.472,-0.000,2.574,0.00
0.520,8.000,5.040,2.960,366.064,444.000,52.064,-130.000,2.603,0.00
0.530,8.000,5.040,2.960,496.656,444.000,52.656,0.000,2.633,0.00
0.540,8.000,5.160,2.840,359.224,426.000,53.224,-120.000,2.661,0.00
0.550,8.000,5.160,2.840,479.792,426.000,53.792,0.000,2.690,0.00
0.560,8.000,5.270,2.730,353.838,409.500,54.338,-110.000,2.717,0.00
0.570,8.000,5.320,2.680,406.874,402.000,54.874,-50.000,2.744,0.00
0.580,8.000,5.320,2.680,457.410,402.000,55.410,0.000,2.771,0.00
0.590,8.000,5.440,2.560,319.922,384.000,55.922,-120.000,2.796,0.00
0.600,8.000,5.480,2.520,394.426,378.000,56.426,-40.000,2.821,0.00
0.610,8.000,5.480,2.520,434.930,378.000,56.930,0.000,2.847,0.00
0.620,8.000,5.600,2.400,297.410,360.000,57.410,-120.000,2.871,0.00
